name,date,long
INTELSAT NEW DAWN,22-Apr-11,32.8
BEIDOU IGSO 3,9-Apr-11,117.7
ELEKTRO-L,20-Jan-11,113.3
KOREASAT 6,29-Dec-10,116
HISPASAT 1E,29-Dec-10,-29.9
EUTE KA SAT 9A (KA SAT),26-Dec-10,9
BEIDOU IGSO 2,17-Dec-10,107.3
INTELSAT 17,26-Nov-10,66
HYLAS 1,26-Nov-10,-96.4
CHINASAT 20A,24-Nov-10,112.8
SKYTERRA 1,14-Nov-10,-101.3
BEIDOU G4,31-Oct-10,160
BSAT-3B,28-Oct-10,109.9
EUTELSAT W3B,28-Oct-10,-57.4
XM-5,14-Oct-10,-115.2
CHINASAT 6A,4-Sep-10,141.5
AEHF 1 (USA 214),14-Aug-10,3.9
RASCOM QAF 1R,4-Aug-10,2.9
NILESAT 201,4-Aug-10,-7
ECHOSTAR 15,10-Jul-10,-61.6
ARABSAT 5A,26-Jun-10,30.5
COMS 1,26-Jun-10,128.2
BADR-5 (ARABSAT 5B),3-Jun-10,26
BEIDOU G3,2-Jun-10,79.6
COMSATBW-2,21-May-10,13.2
ASTRA 3B,21-May-10,23.5
SES 1,24-Apr-10,-101
ECHOSTAR 14,20-Mar-10,-118.9
GOES 15,4-Mar-10,-128.5
INTELSAT 16,12-Feb-10,-76.2
BEIDOU G1,16-Jan-10,140.4
DIRECTV 12,29-Dec-09,-102.7
WGS F3 (USA 211),6-Dec-09,85.7
INTELSAT 15,30-Nov-09,85.1
EUTE 36B (EUTE W7),24-Nov-09,35.9
INTELSAT 14,23-Nov-09,-45
THOR 6,29-Oct-09,-0.8
NSS 12,29-Oct-09,57
COMSATBW-1,30-Sep-09,63
AMAZONAS 2,30-Sep-09,-60.9
NIMIQ 5,17-Sep-09,-72.7
PALAPA D,31-Aug-09,178.5
OPTUS D3,21-Aug-09,156
JCSAT 12,21-Aug-09,132
ASIASAT 5,11-Aug-09,100.5
TERRESTAR 1,1-Jul-09,-110.9
GOES 14,27-Jun-09,-104.8
MEASAT 3A,21-Jun-09,91.5
SES 7 (PROTOSTAR 2),16-May-09,108.3
SICRAL 1B,20-Apr-09,20.9
BEIDOU G2,14-Apr-09,-35.9
WGS F2 (USA 204),4-Apr-09,57.5
EUTE 10A (EUTE W2A),3-Apr-09,10
RADUGA-1 8,28-Feb-09,78.2
TELSTAR 11N,26-Feb-09,-37.5
EUTE 3C (HB 10),12-Feb-09,33.1
NSS 9,12-Feb-09,-176.9
EXPRESS MD1,11-Feb-09,-119.5
EXPRESS AM-44,11-Feb-09,-11
EUTE 28B (EUTE W2M),20-Dec-08,-12.5
EUTE HOT BIRD 13C (HB 9),20-Dec-08,13
CIEL-2,10-Dec-08,-128.8
ASTRA 1M,5-Nov-08,19.2
VENESAT-1,29-Oct-08,126.3
GALAXY 19,24-Sep-08,-97
NIMIQ 4,19-Sep-08,-81.9
INMARSAT 4-F3,18-Aug-08,-98
AMC-21,14-Aug-08,-124.9
SUPERBIRD 7,14-Aug-08,144
ECHOSTAR 11,16-Jul-08,-110
BADR 6,7-Jul-08,25.9
INTELSAT 25(PROTOSTAR 1),7-Jul-08,-31.5
COSMOS 2440,27-Jun-08,78.8
TURKSAT 3A,12-Jun-08,42
SKYNET 5C,12-Jun-08,-17.8
CHINASAT 9,9-Jun-08,92.2
GALAXY 18,21-May-08,-123
AMOS 3,28-Apr-08,-4.1
CTDRS,25-Apr-08,154.9
STAR ONE C2,18-Apr-08,-65
VINASAT 1,18-Apr-08,131.9
ICO G-1,14-Apr-08,-92.8
DIRECTV 11,19-Mar-08,-99.2
AMC-14,14-Mar-08,16.2
WINDS (KIZUNA),23-Feb-08,44.9
THOR 5,11-Feb-08,-0.7
EXPRESS AM-33,28-Jan-08,-11.1
THURAYA 3,15-Jan-08,98.5
HORIZONS 2,21-Dec-07,84.8
RASCOM 1,21-Dec-07,68
RADUGA 1M-1,9-Dec-07,139.5
ASTRA 4A (SIRIUS 4),17-Nov-07,4.8
SKYNET 5B,14-Nov-07,25.1
STAR ONE C1,14-Nov-07,141.9
WGS F1 (USA 195),11-Oct-07,6
INTELSAT 11 (PAS 11),5-Oct-07,-43
OPTUS D2,5-Oct-07,152
INSAT 4CR,2-Sep-07,-19.5
BSAT-3A,14-Aug-07,109.8
SPACEWAY 3,14-Aug-07,-95
DIRECTV 10,7-Jul-07,-102.8
CHINASAT 6B,5-Jul-07,115.5
EUTE 3A (SINOSAT 3),31-May-07,-87.1
NIGCOMSAT 1,13-May-07,41.2
GALAXY 17,4-May-07,-91
ASTRA 1L,4-May-07,19.2
ANIK F3,9-Apr-07,-118.7
SKYNET 5A,11-Mar-07,95.2
INSAT 4B,11-Mar-07,100.4
ETS 8,18-Dec-06,-51.4
MEASAT 3,11-Dec-06,-167.9
AMC-18,8-Dec-06,-83
WILDBLUE 1,8-Dec-06,-111.2
ARABSAT 4B,8-Nov-06,26
XM-4,30-Oct-06,-85.1
SINOSAT 2,28-Oct-06,-30.8
OPTUS D1,13-Oct-06,160
DIRECTV 9S,13-Oct-06,-101.2
CHINASAT 22A,12-Sep-06,60
KOREASAT 5,22-Aug-06,113.1
SYRACUSE 3B,11-Aug-06,-5.2
JCSAT 10,11-Aug-06,128
EUTE HOT BIRD 13B (HB 8),4-Aug-06,13
GALAXY 16,18-Jun-06,-99
KAZSAT 1,17-Jun-06,128
THAICOM 5,27-May-06,16.9
SATMEX 6,27-May-06,-113
GOES 13,24-May-06,61.2
ASTRA 1KR,20-Apr-06,19.2
JCSAT 9,12-Apr-06,132.1
EUTE 9A (HB 7A),11-Mar-06,13
SPAINSAT,11-Mar-06,-30
MTSAT-2,18-Feb-06,38.4
ECHOSTAR 10,15-Feb-06,-110.2
GE-23,29-Dec-05,174
METEOSAT 9 (MSG 2),21-Dec-05,45.6
INSAT 4A,21-Dec-05,-130.3
SPACEWAY 2,16-Nov-05,-138.9
TELKOM 2,16-Nov-05,-5.9
INMARSAT 4-F2,8-Nov-05,63.9
SYRACUSE 3A,13-Oct-05,47
GALAXY 15,13-Oct-05,-133
ANIK F1-R,8-Sep-05,-107.3
GALAXY 14,13-Aug-05,32.9
IPSTAR 1,11-Aug-05,119.5
EXPRESS AM-3,24-Jun-05,-72.6
GALAXY 28 (IA 8),23-Jun-05,-88.9
DIRECTV 8,22-May-05,-119
SPACEWAY 1,26-Apr-05,-27.8
APSTAR 6,12-Apr-05,-135.5
EXPRESS AM-2,29-Mar-05,56.3
INMARSAT 4-F1,11-Mar-05,143.4
XM-3,1-Mar-05,-85.1
MTSAT-1R,26-Feb-05,-70.4
XTAR-EUR,12-Feb-05,29
NSS 10 (AMC-12),3-Feb-05,-37.4
AMC-16,17-Dec-04,-68.1
EXPRESS AM-1,29-Oct-04,64.9
FENGYUN 2C,19-Oct-04,-40.5
AMC-15,14-Oct-04,-105
GSAT 3 (EDUSAT),20-Sep-04,10.8
AMAZONAS,4-Aug-04,179.6
ANIK F2,18-Jul-04,-111.1
APSTAR 5 (TELSTAR 18),29-Jun-04,-179.3
INTELSAT 1002,16-Jun-04,-1
AMC-11 (GE-11),19-May-04,-131
DIRECTV 7S,4-May-04,-73.4
EXPRESS AM-11,26-Apr-04,-55.2
SUPERBIRD 6,16-Apr-04,141.2
RADUGA 1-7,27-Mar-04,129.4
EUTE 7A (EUTE W3A),15-Mar-04,-139.2
MBSAT,13-Mar-04,60.9
AMC-10 (GE-10),5-Feb-04,151.4
ESTRELA DU SOL-TELSTAR14,11-Jan-04,-82.3
SESAT 2 (EXPRESS AM-22),28-Dec-03,-12.5
AMOS 2,27-Dec-03,72.9
YAMAL 201,24-Nov-03,89
YAMAL 202,24-Nov-03,163.5
CHINASAT 20,14-Nov-03,-40.1
HORIZONS 1 (GALAXY 13),1-Oct-03,-127.1
INSAT 3E,27-Sep-03,39.9
EUTE 33A (EB 3),27-Sep-03,149
USA 170,29-Aug-03,-42.2
GALAXY 23 (TELSTAR 13),8-Aug-03,-121
ECHOSTAR 12 (RAINBOW 1),17-Jul-03,43.1
OPTUS C1,11-Jun-03,155.7
BSAT-2C,11-Jun-03,118.6
THURAYA 2,10-Jun-03,44.1
AMC-9 (GE-12),6-Jun-03,166.2
BEIDOU 1C,24-May-03,-32.8
